Região Intermediária,Região Imediata,Cód. IBGE,Município,População,Área (km²),Densidade (hab./km²),IDHM
Curitiba,Curitiba,4100202,Adrianópolis,6.319,"1.343,90","4,70","0,667"
Curitiba,Curitiba,4100301,Agudos do Sul,10.770,"191,34","56,29","0,660"
Curitiba,Curitiba,4100400,Almirante Tamandaré,125.861,"193,74","649,64","0,699"
Curitiba,Curitiba,4101804,Araucária,162.247,"469,55","345,54","0,740"
Curitiba,Curitiba,4102307,Balsa Nova,13.867,"347,59","39,89","0,696"
Curitiba,Curitiba,4103107,Bocaiúva do Sul,13.405,"809,68","16,56","0,640"
Curitiba,Curitiba,4104006,Campina Grande do Sul,50.600,"542,24","93,32","0,718"
Curitiba,Curitiba,4104204,Campo Largo,144.504,"1.239,80","116,55","0,745"
Curitiba,Curitiba,4104253,Campo Magro,31.888,"275,42","115,78","0,701"
Curitiba,Curitiba,4104105,Campo do Tenente,7.693,"303,96","25,31","0,686"
Curitiba,Curitiba,4105201,Cerro Azul,16.287,"1.353,26","12,04","0,573"
Curitiba,Curitiba,4105805,Colombo,241.672,"197,37","1.224,46","0,733"
Curitiba,Curitiba,4106209,Contenda,20.006,"296,49","67,48","0,681"
Curitiba,Curitiba,4106902,Curitiba,1.830.795,"435,41","4.204,76","0,823"
Curitiba,Curitiba,4128633,Doutor Ulysses,5.744,"779,63","7,37","0,546"
Curitiba,Curitiba,4107652,Fazenda Rio Grande,165.943,"116,41","1.425,50","0,720"
Curitiba,Curitiba,4111258,Itaperuçu,33.310,"322,55","103,27","0,637"
Curitiba,Curitiba,4113205,Lapa,45.878,"2.100,39","21,84","0,706"
Curitiba,Curitiba,4114302,Mandirituba,29.104,"378,82","76,83","0,655"
Curitiba,Curitiba,4119152,Pinhais,131.255,"61,01","2.151,37","0,751"
Curitiba,Curitiba,4119509,Piraquara,127.433,"225,07","566,19","0,700"
Curitiba,Curitiba,4119103,Piên,14.409,"256,50","56,18","0,694"
Curitiba,Curitiba,4120804,Quatro Barras,25.397,"181,57","139,87","0,742"
Curitiba,Curitiba,4121208,Quitandinha,18.882,"446,60","42,28","0,680"
Curitiba,Curitiba,4122206,Rio Branco do Sul,40.308,"820,07","49,15","0,679"
Curitiba,Curitiba,4122305,Rio Negro,31.951,"604,48","52,86","0,760"
Curitiba,Curitiba,4125506,São José dos Pinhais,349.880,"945,51","370,04","0,758"
Curitiba,Curitiba,4127601,Tijucas do Sul,18.458,"672,60","27,44","0,636"
Curitiba,Curitiba,4127882,Tunas do Paraná,6.304,"670,90","9,40","0,611"
Curitiba,Curitiba,SÍNTESE,SÍNTESE,3.720.170,"16.581,86","224,35","0,772"
Curitiba,Paranaguá,4101200,Antonina,18.140,"890,07","20,38","0,687"
Curitiba,Paranaguá,4109500,Guaraqueçaba,7.446,"2.011,26","3,70","0,587"
Curitiba,Paranaguá,4109609,Guaratuba,44.913,"1.320,95","34,00","0,717"
Curitiba,Paranaguá,4115705,Matinhos,42.063,"117,48","358,04","0,743"
Curitiba,Paranaguá,4116208,Morretes,19.089,"686,49","27,81","0,686"
Curitiba,Paranaguá,4118204,Paranaguá,150.104,"821,43","182,73","0,750"
Curitiba,Paranaguá,4119954,Pontal do Paraná,33.131,"202,24","163,82","0,738"
Curitiba,Paranaguá,SÍNTESE,SÍNTESE,314.886,"6.049,92","52,05","0,732"
Curitiba,União da Vitória,4101309,Antônio Olinto,7.048,"463,69","15,20","0,656"
Curitiba,União da Vitória,4102901,Bituruna,15.650,"1.280,76","12,22","0,667"
Curitiba,União da Vitória,4106803,Cruz Machado,15.759,"1.474,20","10,69","0,664"
Curitiba,União da Vitória,4108502,General Carneiro,10.691,"1.068,37","10,01","0,652"
Curitiba,União da Vitória,4118600,Paula Freitas,5.706,"417,83","13,66","0,717"
Curitiba,União da Vitória,4118709,Paulo Frontin,6.414,"363,17","17,66","0,708"
Curitiba,União da Vitória,4120309,Porto Vitória,3.515,"210,24","16,72","0,685"
Curitiba,União da Vitória,4125605,São Mateus do Sul,43.490,"1.344,74","32,34","0,719"
Curitiba,União da Vitória,4128203,União da Vitória,56.560,"727,44","77,75","0,740"
Curitiba,União da Vitória,SÍNTESE,SÍNTESE,164.833,"7.350,44","22,42","0,708"
Guarapuava,Guarapuava,4103958,Campina do Simão,3.954,"448,03","8,83","0,630"
Guarapuava,Guarapuava,4104428,Candói,15.174,"1.509,72","10,05","0,635"
Guarapuava,Guarapuava,4104451,Cantagalo,10.672,"568,93","18,76","0,635"
Guarapuava,Guarapuava,4108452,Foz do Jordão,4.893,"230,72","21,21","0,645"
Guarapuava,Guarapuava,4108650,Goioxim,6.469,"702,28","9,21","0,641"
Guarapuava,Guarapuava,4108957,Guamiranga,7.916,"244,59","32,36","0,669"
Guarapuava,Guarapuava,4109401,Guarapuava,189.630,"3.163,89","59,94","0,731"
Guarapuava,Guarapuava,4110201,Inácio Martins,9.555,"938,13","10,19","0,600"
Guarapuava,Guarapuava,4119301,Pinhão,30.451,"2.003,80","15,20","0,654"
Guarapuava,Guarapuava,4120606,Prudentópolis,50.946,"2.257,86","22,56","0,676"
Guarapuava,Guarapuava,4121752,Reserva do Iguaçu,6.493,"833,09","7,79","0,648"
Guarapuava,Guarapuava,4127965,Turvo,14.101,"936,04","15,06","0,672"
Guarapuava,Guarapuava,SÍNTESE,SÍNTESE,350.254,"13.837,08","25,31","0,696"
Guarapuava,Pitanga,4103040,Boa Ventura de São Roque,6.241,"606,94","10,28","0,655"
Guarapuava,Pitanga,4113254,Laranjal,5.525,"559,44","9,88","0,585"
Guarapuava,Pitanga,4115739,Mato Rico,3.249,"402,53","8,07","0,632"
Guarapuava,Pitanga,4117271,Nova Tebas,6.852,"545,66","12,56","0,651"
Guarapuava,Pitanga,4117800,Palmital,12.879,"821,73","15,67","0,639"
Guarapuava,Pitanga,4119608,Pitanga,34.527,"1.687,45","20,46","0,702"
Guarapuava,Pitanga,4123857,Santa Maria do Oeste,9.869,"815,15","12,11","0,609"
Guarapuava,Pitanga,SÍNTESE,SÍNTESE,79.142,"5.438,90","14,55","0,661"
Cascavel,Cascavel,4101051,Anahy,2.971,"104,09","28,54","0,695"
Cascavel,Cascavel,4103057,Boa Vista da Aparecida,8.023,"265,64","30,20","0,670"
Cascavel,Cascavel,4103354,Braganey,4.745,"343,26","13,82","0,701"
Cascavel,Cascavel,4103453,Cafelândia,20.145,"275,17","73,21","0,748"
Cascavel,Cascavel,4104055,Campo Bonito,3.997,"434,12","9,21","0,681"
Cascavel,Cascavel,4104600,Capitão Leônidas Marques,14.776,"280,11","52,75","0,716"
Cascavel,Cascavel,4104808,Cascavel,368.195,"2.094,26","175,81","0,782"
Cascavel,Cascavel,4105003,Catanduvas,10.621,"578,49","18,36","0,678"
Cascavel,Cascavel,4106308,Corbélia,17.933,"527,61","33,99","0,738"
Cascavel,Cascavel,4105300,Céu Azul,11.255,"1.176,52","9,57","0,732"
Cascavel,Cascavel,4107157,Diamante D'Oeste,4.513,"310,62","14,53","0,644"
Cascavel,Cascavel,4107124,Diamante do Sul,3.147,"347,23","9,06","0,608"
Cascavel,Cascavel,4109302,Guaraniaçu,13.770,"1.237,77","11,12","0,677"
Cascavel,Cascavel,4109757,Ibema,6.343,"146,55","43,28","0,685"
Cascavel,Cascavel,4110052,Iguatu,2.156,"106,94","20,16","0,703"
Cascavel,Cascavel,4113452,Lindoeste,5.217,"344,69","15,14","0,666"
Cascavel,Cascavel,4115606,Matelândia,19.223,"642,12","29,94","0,725"
Cascavel,Cascavel,4116703,Nova Aurora,14.331,"471,18","30,42","0,733"
Cascavel,Cascavel,4121257,Ramilândia,4.279,"235,42","18,18","0,630"
Cascavel,Cascavel,4123824,Santa Lúcia,3.638,"126,81","28,69","0,687"
